p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR,p2_SIG_STR,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TOTAL_STR,p2_TOTAL_STR,p1_TD,p2_TD,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR,p2_R1_SIG_STR,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TOTAL_STR,p2_R1_TOTAL_STR,p1_R1_TD,p2_R1_TD,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_LANDED_ATTEMPTED,p2_SIG_STR_LANDED_ATTEMPTED,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_HEAD_LANDED_ATTEMPTED,p2_HEAD_LANDED_ATTEMPTED,p1_BODY_LANDED_ATTEMPTED,p2_BODY_LANDED_ATTEMPTED,p1_LEG_LANDED_ATTEMPTED,p2_LEG_LANDED_ATTEMPTED,p1_DISTANCE_LANDED_ATTEMPTED,p2_DISTANCE_LANDED_ATTEMPTED,p1_CLINCH_LANDED_ATTEMPTED,p2_CLINCH_LANDED_ATTEMPTED,p1_GROUND_LANDED_ATTEMPTED,p2_GROUND_LANDED_ATTEMPTED,p1_R1_SIG_STR_LANDED_ATTEMPTED,p2_R1_SIG_STR_LANDED_ATTEMPTED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,p1_R1_HEAD_LANDED_ATTEMPTED,p2_R1_HEAD_LANDED_ATTEMPTED,p1_R1_BODY_LANDED_ATTEMPTED,p2_R1_BODY_LANDED_ATTEMPTED,p1_R1_LEG_LANDED_ATTEMPTED,p2_R1_LEG_LANDED_ATTEMPTED,p1_R1_DISTANCE_LANDED_ATTEMPTED,p2_R1_DISTANCE_LANDED_ATTEMPTED,p1_R1_CLINCH_LANDED_ATTEMPTED,p2_R1_CLINCH_LANDED_ATTEMPTED,p1_R1_GROUND_LANDED_ATTEMPTED,p2_R1_GROUND_LANDED_ATTEMPTED,method,referee,winner,event_date
Ilir Latifi,Jan Blachowicz,0,0,2 of 6,13 of 20,33%,65%,2 of 6,14 of 21,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:06,0,0,2 of 6,13 of 20,33%,65%,2 of 6,14 of 21,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:06,2 of 6,13 of 20,33%,65%,2 of 6,9 of 15,0 of 0,1 of 2,0 of 0,3 of 3,2 of 6,6 of 12,0 of 0,0 of 0,0 of 0,7 of 8,2 of 6,13 of 20,33%,65%,2 of 6,9 of 15,0 of 0,1 of 2,0 of 0,3 of 3,2 of 6,6 of 12,0 of 0,0 of 0,0 of 0,7 of 8,KO/TKO,Grant Waterman,0,"October 04, 2014"
Niklas Backstrom,Mike Wilkinson,0,1,7 of 12,6 of 15,58%,40%,7 of 12,7 of 16,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:02,0,1,7 of 12,6 of 15,58%,40%,7 of 12,7 of 16,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:02,7 of 12,6 of 15,58%,40%,4 of 9,4 of 12,0 of 0,0 of 1,3 of 3,2 of 2,5 of 10,3 of 10,2 of 2,0 of 0,0 of 0,3 of 5,7 of 12,6 of 15,58%,40%,4 of 9,4 of 12,0 of 0,0 of 1,3 of 3,2 of 2,5 of 10,3 of 10,2 of 2,0 of 0,0 of 0,3 of 5,KO/TKO,Bobby Rehman,0,"October 04, 2014"
Magnus Cedenblad,Scott Askham,0,1,23 of 34,42 of 51,67%,82%,179 of 193,86 of 95,3 of 6,0 of 1,50%,0%,0,0,0,0,9:48,2:31,0,0,9 of 11,7 of 10,81%,70%,62 of 64,27 of 30,1 of 2,0 of 0,50%,---,0,0,0,0,4:14,0:00,23 of 34,42 of 51,67%,82%,10 of 19,16 of 22,5 of 7,12 of 14,8 of 8,14 of 15,10 of 18,16 of 23,11 of 13,24 of 26,2 of 3,2 of 2,9 of 11,7 of 10,81%,70%,2 of 4,2 of 4,2 of 2,2 of 2,5 of 5,3 of 4,5 of 6,7 of 10,4 of 4,0 of 0,0 of 1,0 of 0,Decision - Unanimous,Marc Goddard,1,"October 04, 2014"
Nicholas Musoke,Alexander Yakovlev,0,0,70 of 156,44 of 107,44%,41%,97 of 183,44 of 107,0 of 4,0 of 9,0%,0%,0,0,0,0,6:47,0:06,0,0,17 of 38,10 of 19,44%,52%,32 of 53,10 of 19,0 of 0,0 of 4,---,0%,0,0,0,0,3:15,0:00,70 of 156,44 of 107,44%,41%,41 of 126,24 of 83,15 of 16,11 of 15,14 of 14,9 of 9,53 of 135,43 of 106,17 of 21,1 of 1,0 of 0,0 of 0,17 of 38,10 of 19,44%,52%,6 of 27,4 of 12,3 of 3,4 of 5,8 of 8,2 of 2,8 of 28,9 of 18,9 of 10,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Grant Waterman,1,"October 04, 2014"
Dennis Siver,Charles Rosa,0,0,33 of 86,22 of 91,38%,24%,109 of 171,29 of 99,3 of 3,2 of 4,100%,50%,1,1,2,3,8:51,0:55,0,0,12 of 40,9 of 49,30%,18%,23 of 52,9 of 49,1 of 1,0 of 1,100%,0%,1,0,0,0,2:06,0:00,33 of 86,22 of 91,38%,24%,22 of 71,15 of 73,4 of 7,2 of 8,7 of 8,5 of 10,31 of 84,22 of 89,0 of 0,0 of 0,2 of 2,0 of 2,12 of 40,9 of 49,30%,18%,8 of 33,6 of 38,2 of 4,0 of 5,2 of 3,3 of 6,12 of 40,9 of 49,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Kristian Hacklou,1,"October 04, 2014"
Cathal Pendred,Gasan Umalatov,0,0,55 of 103,38 of 97,53%,39%,58 of 106,54 of 116,1 of 14,0 of 1,7%,0%,0,0,0,0,2:30,0:08,0,0,16 of 26,7 of 18,61%,38%,17 of 27,14 of 27,1 of 8,0 of 1,12%,0%,0,0,0,0,2:17,0:02,55 of 103,38 of 97,53%,39%,14 of 58,28 of 81,12 of 14,4 of 9,29 of 31,6 of 7,48 of 96,35 of 91,7 of 7,3 of 4,0 of 0,0 of 2,16 of 26,7 of 18,61%,38%,4 of 14,5 of 14,6 of 6,1 of 3,6 of 6,1 of 1,10 of 20,6 of 16,6 of 6,1 of 2,0 of 0,0 of 0,Decision - Split,Marc Goddard,1,"October 04, 2014"
Tor Troeng,Krzysztof Jotko,0,0,15 of 47,74 of 98,31%,75%,26 of 60,132 of 159,0 of 19,1 of 2,0%,50%,0,0,0,0,4:11,3:18,0,0,7 of 16,20 of 28,43%,71%,13 of 22,44 of 53,0 of 10,0 of 0,0%,---,0,0,0,0,2:04,0:32,15 of 47,74 of 98,31%,75%,6 of 37,30 of 53,4 of 5,31 of 32,5 of 5,13 of 13,6 of 36,18 of 36,9 of 11,52 of 57,0 of 0,4 of 5,7 of 16,20 of 28,43%,71%,1 of 10,9 of 17,2 of 2,5 of 5,4 of 4,6 of 6,2 of 11,7 of 13,5 of 5,13 of 15,0 of 0,0 of 0,Decision - Unanimous,Grant Waterman,0,"October 04, 2014"
Mairbek Taisumov,Marcin Bandel,1,0,9 of 10,3 of 7,90%,42%,9 of 10,3 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:00,1,0,9 of 10,3 of 7,90%,42%,9 of 10,3 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:00,9 of 10,3 of 7,90%,42%,8 of 9,3 of 7,0 of 0,0 of 0,1 of 1,0 of 0,6 of 7,3 of 7,0 of 0,0 of 0,3 of 3,0 of 0,9 of 10,3 of 7,90%,42%,8 of 9,3 of 7,0 of 0,0 of 0,1 of 1,0 of 0,6 of 7,3 of 7,0 of 0,0 of 0,3 of 3,0 of 0,KO/TKO,Kristian Hacklou,1,"October 04, 2014"
Zubaira Tukhugov,Ernest Chavez,0,0,40 of 67,12 of 30,59%,40%,43 of 70,12 of 30,0 of 0,0 of 0,---,---,0,0,0,0,0:07,0:00,0,0,40 of 67,12 of 30,59%,40%,43 of 70,12 of 30,0 of 0,0 of 0,---,---,0,0,0,0,0:07,0:00,40 of 67,12 of 30,59%,40%,34 of 60,9 of 24,5 of 6,0 of 1,1 of 1,3 of 5,27 of 52,12 of 30,8 of 9,0 of 0,5 of 6,0 of 0,40 of 67,12 of 30,59%,40%,34 of 60,9 of 24,5 of 6,0 of 1,1 of 1,3 of 5,27 of 52,12 of 30,8 of 9,0 of 0,5 of 6,0 of 0,KO/TKO,Bobby Rehman,1,"October 04, 2014"
Demetrious Johnson,Chris Cariaso,0,0,27 of 43,6 of 27,62%,22%,47 of 66,13 of 35,1 of 1,0 of 1,100%,0%,2,0,0,0,4:44,0:03,0,0,19 of 30,5 of 21,63%,23%,30 of 42,10 of 26,1 of 1,0 of 1,100%,0%,0,0,0,0,2:54,0:03,27 of 43,6 of 27,62%,22%,12 of 24,1 of 19,13 of 15,2 of 3,2 of 4,3 of 5,7 of 18,4 of 25,10 of 11,2 of 2,10 of 14,0 of 0,19 of 30,5 of 21,63%,23%,5 of 12,1 of 16,12 of 14,2 of 2,2 of 4,2 of 3,7 of 14,3 of 19,10 of 11,2 of 2,2 of 5,0 of 0,Submission,Herb Dean,1,"September 27, 2014"
Donald Cerrone,Eddie Alvarez,1,0,88 of 166,48 of 138,53%,34%,101 of 182,64 of 157,0 of 2,0 of 5,0%,0%,0,0,0,0,1:57,0:37,0,0,19 of 47,23 of 63,40%,36%,19 of 47,28 of 68,0 of 1,0 of 2,0%,0%,0,0,0,0,0:05,0:37,88 of 166,48 of 138,53%,34%,34 of 104,36 of 111,28 of 35,10 of 24,26 of 27,2 of 3,65 of 132,34 of 114,17 of 23,14 of 24,6 of 11,0 of 0,19 of 47,23 of 63,40%,36%,6 of 31,17 of 50,8 of 11,5 of 12,5 of 5,1 of 1,16 of 42,12 of 44,3 of 5,11 of 19,0 of 0,0 of 0,Decision - Unanimous,John McCarthy,1,"September 27, 2014"
Dustin Poirier,Conor McGregor,0,1,10 of 19,9 of 29,52%,31%,10 of 19,9 of 29,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,0,1,10 of 19,9 of 29,52%,31%,10 of 19,9 of 29,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,10 of 19,9 of 29,52%,31%,3 of 11,8 of 25,0 of 0,1 of 4,7 of 8,0 of 0,10 of 19,5 of 25,0 of 0,0 of 0,0 of 0,4 of 4,10 of 19,9 of 29,52%,31%,3 of 11,8 of 25,0 of 0,1 of 4,7 of 8,0 of 0,10 of 19,5 of 25,0 of 0,0 of 0,0 of 0,4 of 4,KO/TKO,Herb Dean,0,"September 27, 2014"
Tim Kennedy,Yoel Romero,0,2,30 of 86,39 of 80,34%,48%,32 of 88,51 of 93,0 of 6,3 of 4,0%,75%,1,0,0,0,0:01,2:06,0,0,4 of 28,12 of 20,14%,60%,4 of 28,14 of 22,0 of 2,2 of 2,0%,100%,0,0,0,0,0:00,0:16,30 of 86,39 of 80,34%,48%,17 of 58,28 of 62,9 of 21,3 of 6,4 of 7,8 of 12,21 of 71,25 of 58,9 of 15,5 of 8,0 of 0,9 of 14,4 of 28,12 of 20,14%,60%,0 of 16,5 of 10,2 of 7,2 of 3,2 of 5,5 of 7,4 of 28,12 of 20,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,John McCarthy,0,"September 27, 2014"
Cat Zingano,Amanda Nunes,0,0,40 of 60,22 of 37,66%,59%,93 of 116,36 of 54,3 of 3,1 of 2,100%,50%,3,0,0,0,6:57,3:08,0,0,3 of 4,21 of 35,75%,60%,14 of 18,32 of 49,1 of 1,1 of 2,100%,50%,1,0,0,0,1:28,3:08,40 of 60,22 of 37,66%,59%,31 of 49,19 of 34,7 of 9,1 of 1,2 of 2,2 of 2,1 of 5,1 of 2,7 of 8,1 of 3,32 of 47,20 of 32,3 of 4,21 of 35,75%,60%,3 of 4,19 of 33,0 of 0,0 of 0,0 of 0,2 of 2,0 of 1,1 of 1,1 of 1,0 of 2,2 of 2,20 of 32,KO/TKO,Jason Herzog,1,"September 27, 2014"
Dominick Cruz,Takeya Mizugaki,0,0,26 of 35,2 of 10,74%,20%,26 of 35,3 of 11,2 of 2,0 of 0,100%,---,0,0,0,0,0:22,0:00,0,0,26 of 35,2 of 10,74%,20%,26 of 35,3 of 11,2 of 2,0 of 0,100%,---,0,0,0,0,0:22,0:00,26 of 35,2 of 10,74%,20%,26 of 35,2 of 9,0 of 0,0 of 1,0 of 0,0 of 0,4 of 9,2 of 10,0 of 0,0 of 0,22 of 26,0 of 0,26 of 35,2 of 10,74%,20%,26 of 35,2 of 9,0 of 0,0 of 1,0 of 0,0 of 0,4 of 9,2 of 10,0 of 0,0 of 0,22 of 26,0 of 0,KO/TKO,Chris Tognoni,1,"September 27, 2014"
Jorge Masvidal,James Krause,1,0,69 of 157,58 of 145,43%,40%,85 of 176,61 of 148,2 of 4,0 of 5,50%,0%,0,0,1,0,3:00,1:42,0,0,20 of 56,23 of 61,35%,37%,24 of 61,25 of 63,0 of 0,0 of 1,---,0%,0,0,0,0,0:03,0:27,69 of 157,58 of 145,43%,40%,42 of 119,44 of 117,23 of 29,8 of 18,4 of 9,6 of 10,54 of 139,57 of 142,13 of 16,1 of 3,2 of 2,0 of 0,20 of 56,23 of 61,35%,37%,10 of 42,19 of 49,8 of 10,2 of 8,2 of 4,2 of 4,17 of 53,22 of 59,3 of 3,1 of 2,0 of 0,0 of 0,Decision - Unanimous,Herb Dean,1,"September 27, 2014"
Patrick Cote,Stephen Thompson,0,1,53 of 123,64 of 134,43%,47%,55 of 125,67 of 138,0 of 8,0 of 0,0%,---,0,0,0,0,1:47,0:39,0,0,26 of 40,13 of 32,65%,40%,28 of 42,14 of 33,0 of 4,0 of 0,0%,---,0,0,0,0,1:21,0:21,53 of 123,64 of 134,43%,47%,9 of 52,46 of 109,8 of 26,9 of 16,36 of 45,9 of 9,41 of 109,52 of 116,12 of 14,8 of 9,0 of 0,4 of 9,26 of 40,13 of 32,65%,40%,2 of 12,7 of 23,5 of 7,4 of 7,19 of 21,2 of 2,16 of 29,8 of 26,10 of 11,5 of 6,0 of 0,0 of 0,Decision - Unanimous,Jason Herzog,0,"September 27, 2014"
John Howard,Brian Ebersole,0,0,42 of 66,49 of 94,63%,52%,97 of 128,104 of 156,2 of 4,1 of 5,50%,20%,0,0,0,1,4:06,3:17,0,0,7 of 15,17 of 24,46%,70%,13 of 23,31 of 43,0 of 0,1 of 1,---,100%,0,0,0,0,0:03,3:01,42 of 66,49 of 94,63%,52%,19 of 40,21 of 53,8 of 10,7 of 14,15 of 16,21 of 27,26 of 40,32 of 72,16 of 26,13 of 18,0 of 0,4 of 4,7 of 15,17 of 24,46%,70%,3 of 10,4 of 10,0 of 1,2 of 2,4 of 4,11 of 12,3 of 5,8 of 14,4 of 10,6 of 7,0 of 0,3 of 3,Decision - Split,Chris Tognoni,0,"September 27, 2014"
Jon Tuck,Kevin Lee,0,0,30 of 80,74 of 157,37%,47%,68 of 125,100 of 190,0 of 0,4 of 9,---,44%,2,0,0,0,0:07,8:45,0,0,12 of 27,22 of 48,44%,45%,24 of 40,27 of 53,0 of 0,2 of 3,---,66%,1,0,0,0,0:00,2:34,30 of 80,74 of 157,37%,47%,13 of 60,53 of 131,10 of 13,21 of 26,7 of 7,0 of 0,20 of 61,24 of 84,7 of 14,19 of 27,3 of 5,31 of 46,12 of 27,22 of 48,44%,45%,5 of 18,13 of 36,5 of 7,9 of 12,2 of 2,0 of 0,8 of 21,6 of 26,4 of 6,13 of 17,0 of 0,3 of 5,Decision - Unanimous,Jason Herzog,0,"September 27, 2014"
Manvel Gamburyan,Cody Gibson,0,1,11 of 52,49 of 118,21%,41%,20 of 63,61 of 131,2 of 6,1 of 2,33%,50%,1,0,0,0,1:32,2:42,0,0,7 of 27,29 of 75,25%,38%,8 of 30,32 of 78,1 of 3,0 of 0,33%,---,0,0,0,0,0:32,0:46,11 of 52,49 of 118,21%,41%,5 of 43,35 of 103,2 of 4,11 of 12,4 of 5,3 of 3,8 of 43,28 of 86,3 of 8,17 of 25,0 of 1,4 of 7,7 of 27,29 of 75,25%,38%,2 of 21,22 of 67,2 of 2,6 of 7,3 of 4,1 of 1,5 of 24,18 of 61,2 of 3,11 of 14,0 of 0,0 of 0,Submission,Chris Tognoni,1,"September 27, 2014"
Mark Hunt,Roy Nelson,1,0,32 of 91,20 of 60,35%,33%,32 of 91,20 of 60,0 of 0,1 of 6,---,16%,0,0,0,0,0:02,0:19,0,0,16 of 48,11 of 37,33%,29%,16 of 48,11 of 37,0 of 0,0 of 3,---,0%,0,0,0,0,0:00,0:00,32 of 91,20 of 60,35%,33%,28 of 85,16 of 54,3 of 5,2 of 3,1 of 1,2 of 3,28 of 85,20 of 60,4 of 6,0 of 0,0 of 0,0 of 0,16 of 48,11 of 37,33%,29%,12 of 42,9 of 34,3 of 5,1 of 1,1 of 1,1 of 2,13 of 45,11 of 37,3 of 3,0 of 0,0 of 0,0 of 0,KO/TKO,Leon Roberts,1,"September 20, 2014"
Myles Jury,Takanori Gomi,1,0,10 of 23,1 of 4,43%,25%,10 of 23,1 of 4,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:00,1,0,10 of 23,1 of 4,43%,25%,10 of 23,1 of 4,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:00,10 of 23,1 of 4,43%,25%,7 of 17,0 of 3,1 of 4,1 of 1,2 of 2,0 of 0,4 of 15,1 of 4,0 of 0,0 of 0,6 of 8,0 of 0,10 of 23,1 of 4,43%,25%,7 of 17,0 of 3,1 of 4,1 of 1,2 of 2,0 of 0,4 of 15,1 of 4,0 of 0,0 of 0,6 of 8,0 of 0,KO/TKO,Steve Perceval,1,"September 20, 2014"
Yoshihiro Akiyama,Amir Sadollah,0,0,57 of 119,42 of 101,47%,41%,94 of 165,63 of 124,2 of 5,0 of 0,40%,---,0,0,0,0,7:55,0:12,0,0,8 of 15,9 of 25,53%,36%,28 of 40,19 of 35,1 of 2,0 of 0,50%,---,0,0,0,0,2:50,0:11,57 of 119,42 of 101,47%,41%,51 of 113,24 of 77,6 of 6,4 of 5,0 of 0,14 of 19,26 of 60,31 of 84,0 of 1,6 of 8,31 of 58,5 of 9,8 of 15,9 of 25,53%,36%,6 of 13,6 of 20,2 of 2,0 of 1,0 of 0,3 of 4,4 of 11,6 of 20,0 of 0,3 of 5,4 of 4,0 of 0,Decision - Unanimous,Wolf Menninger,1,"September 20, 2014"
Miesha Tate,Rin Nakai,0,0,55 of 116,16 of 47,47%,34%,88 of 150,52 of 86,1 of 4,3 of 19,25%,15%,0,0,0,0,2:43,3:56,0,0,31 of 58,10 of 27,53%,37%,37 of 64,31 of 50,1 of 1,0 of 6,100%,0%,0,0,0,0,0:54,0:26,55 of 116,16 of 47,47%,34%,33 of 87,7 of 28,18 of 24,6 of 16,4 of 5,3 of 3,28 of 79,7 of 24,25 of 33,9 of 21,2 of 4,0 of 2,31 of 58,10 of 27,53%,37%,16 of 39,5 of 18,12 of 15,3 of 7,3 of 4,2 of 2,17 of 38,5 of 15,14 of 18,5 of 10,0 of 2,0 of 2,Decision - Unanimous,Jerin Valel,1,"September 20, 2014"
Kiichi Kunimoto,Richard Walsh,0,2,36 of 92,59 of 105,39%,56%,62 of 128,96 of 142,1 of 10,0 of 0,10%,---,0,0,0,0,6:05,3:18,0,2,10 of 35,33 of 51,28%,64%,13 of 38,60 of 78,0 of 2,0 of 0,0%,---,0,0,0,0,1:03,1:45,36 of 92,59 of 105,39%,56%,16 of 70,31 of 70,14 of 16,10 of 16,6 of 6,18 of 19,20 of 72,41 of 80,14 of 18,14 of 21,2 of 2,4 of 4,10 of 35,33 of 51,28%,64%,5 of 28,18 of 32,3 of 5,5 of 8,2 of 2,10 of 11,7 of 29,18 of 34,3 of 6,11 of 13,0 of 0,4 of 4,Decision - Split,Jerin Valel,1,"September 20, 2014"
Kyoji Horiguchi,Jon Delos Reyes,0,0,31 of 43,13 of 25,72%,52%,49 of 62,18 of 30,0 of 0,0 of 0,---,---,0,0,0,0,2:17,0:00,0,0,31 of 43,13 of 25,72%,52%,49 of 62,18 of 30,0 of 0,0 of 0,---,---,0,0,0,0,2:17,0:00,31 of 43,13 of 25,72%,52%,22 of 34,4 of 16,9 of 9,4 of 4,0 of 0,5 of 5,11 of 15,6 of 16,11 of 17,7 of 9,9 of 11,0 of 0,31 of 43,13 of 25,72%,52%,22 of 34,4 of 16,9 of 9,4 of 4,0 of 0,5 of 5,11 of 15,6 of 16,11 of 17,7 of 9,9 of 11,0 of 0,KO/TKO,Steve Perceval,1,"September 20, 2014"
Alex Caceres,Masanori Kanehara,0,0,24 of 78,32 of 69,30%,46%,33 of 87,102 of 145,0 of 0,2 of 4,---,50%,0,2,1,0,0:36,7:32,0,0,10 of 19,19 of 32,52%,59%,16 of 25,45 of 61,0 of 0,1 of 2,---,50%,0,0,0,0,0:13,2:44,24 of 78,32 of 69,30%,46%,14 of 60,29 of 62,5 of 11,0 of 3,5 of 7,3 of 4,20 of 72,20 of 54,4 of 6,11 of 14,0 of 0,1 of 1,10 of 19,19 of 32,52%,59%,5 of 12,19 of 30,2 of 4,0 of 1,3 of 3,0 of 1,8 of 16,7 of 18,2 of 3,11 of 13,0 of 0,1 of 1,Decision - Unanimous,Leon Roberts,0,"September 20, 2014"
Katsunori Kikuno,Sam Sicilia,0,0,32 of 78,36 of 91,41%,39%,33 of 79,37 of 92,1 of 1,0 of 0,100%,---,1,0,0,0,0:48,0:00,0,0,27 of 67,32 of 81,40%,39%,28 of 68,33 of 82,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,32 of 78,36 of 91,41%,39%,20 of 60,18 of 64,3 of 8,7 of 12,9 of 10,11 of 15,30 of 74,27 of 79,2 of 4,9 of 12,0 of 0,0 of 0,27 of 67,32 of 81,40%,39%,17 of 53,15 of 58,3 of 7,7 of 11,7 of 7,10 of 12,25 of 63,25 of 72,2 of 4,7 of 9,0 of 0,0 of 0,Submission,Wolf Menninger,1,"September 20, 2014"
Hyun Gyu Lim,Takenori Sato,1,0,10 of 13,1 of 3,76%,33%,15 of 18,2 of 4,0 of 0,0 of 2,---,0%,0,0,0,0,0:12,0:02,1,0,10 of 13,1 of 3,76%,33%,15 of 18,2 of 4,0 of 0,0 of 2,---,0%,0,0,0,0,0:12,0:02,10 of 13,1 of 3,76%,33%,10 of 13,0 of 0,0 of 0,0 of 1,0 of 0,1 of 2,0 of 3,1 of 3,3 of 3,0 of 0,7 of 7,0 of 0,10 of 13,1 of 3,76%,33%,10 of 13,0 of 0,0 of 0,0 of 1,0 of 0,1 of 2,0 of 3,1 of 3,3 of 3,0 of 0,7 of 7,0 of 0,KO/TKO,Leon Roberts,1,"September 20, 2014"
Michinori Tanaka,Kyung Ho Kang,0,0,22 of 61,21 of 66,36%,31%,39 of 81,42 of 89,3 of 9,0 of 0,33%,---,0,2,4,1,5:46,5:26,0,0,1 of 3,4 of 6,33%,66%,7 of 9,20 of 23,0 of 3,0 of 0,0%,---,0,1,2,0,1:01,3:30,22 of 61,21 of 66,36%,31%,20 of 58,15 of 56,2 of 3,3 of 4,0 of 0,3 of 6,9 of 44,16 of 61,2 of 2,2 of 2,11 of 15,3 of 3,1 of 3,4 of 6,33%,66%,1 of 3,3 of 5,0 of 0,1 of 1,0 of 0,0 of 0,0 of 2,1 of 3,1 of 1,1 of 1,0 of 0,2 of 2,Decision - Split,Jerin Valel,0,"September 20, 2014"
Kazuki Tokudome,Johnny Case,0,1,12 of 29,13 of 73,41%,17%,13 of 30,20 of 80,1 of 4,0 of 1,25%,0%,0,1,0,0,2:58,0:12,0,0,5 of 11,2 of 25,45%,8%,6 of 12,9 of 32,1 of 3,0 of 1,33%,0%,0,0,0,0,2:58,0:00,12 of 29,13 of 73,41%,17%,10 of 27,11 of 67,0 of 0,0 of 2,2 of 2,2 of 4,9 of 26,11 of 69,2 of 2,1 of 3,1 of 1,1 of 1,5 of 11,2 of 25,45%,8%,4 of 10,2 of 23,0 of 0,0 of 1,1 of 1,0 of 1,2 of 8,1 of 22,2 of 2,1 of 3,1 of 1,0 of 0,Submission,Steve Perceval,0,"September 20, 2014"
Maximo Blanco,Dan Hooker,0,0,132 of 240,99 of 236,55%,41%,137 of 246,116 of 253,3 of 13,0 of 0,23%,---,0,0,0,0,2:35,1:45,0,0,33 of 57,21 of 61,57%,34%,33 of 57,24 of 64,2 of 8,0 of 0,25%,---,0,0,0,0,2:01,0:31,132 of 240,99 of 236,55%,41%,128 of 232,75 of 201,4 of 8,19 of 27,0 of 0,5 of 8,109 of 198,66 of 174,22 of 41,33 of 62,1 of 1,0 of 0,33 of 57,21 of 61,57%,34%,32 of 56,17 of 55,1 of 1,4 of 6,0 of 0,0 of 0,27 of 49,11 of 47,5 of 7,10 of 14,1 of 1,0 of 0,Decision - Unanimous,Wolf Menninger,1,"September 20, 2014"
Antonio Silva,Andrei Arlovski,0,1,6 of 13,13 of 33,46%,39%,6 of 13,14 of 34,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,0,1,6 of 13,13 of 33,46%,39%,6 of 13,14 of 34,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,6 of 13,13 of 33,46%,39%,2 of 7,8 of 27,2 of 3,4 of 5,2 of 3,1 of 1,5 of 11,8 of 26,1 of 2,1 of 3,0 of 0,4 of 4,6 of 13,13 of 33,46%,39%,2 of 7,8 of 27,2 of 3,4 of 5,2 of 3,1 of 1,5 of 11,8 of 26,1 of 2,1 of 3,0 of 0,4 of 4,KO/TKO,Jerin Valel,0,"September 13, 2014"
Gleison Tibau,Piotr Hallmann,0,0,30 of 74,52 of 113,40%,46%,41 of 89,86 of 148,5 of 11,0 of 0,45%,---,0,0,0,0,5:39,1:38,0,0,13 of 38,22 of 44,34%,50%,19 of 45,28 of 50,2 of 3,0 of 0,66%,---,0,0,0,0,1:24,0:03,30 of 74,52 of 113,40%,46%,22 of 61,11 of 48,4 of 9,28 of 46,4 of 4,13 of 19,20 of 60,23 of 62,10 of 14,29 of 51,0 of 0,0 of 0,13 of 38,22 of 44,34%,50%,9 of 32,1 of 16,3 of 5,13 of 19,1 of 1,8 of 9,8 of 32,14 of 32,5 of 6,8 of 12,0 of 0,0 of 0,Decision - Split,Mario Yamasaki,1,"September 13, 2014"
Leonardo Santos,Efrain Escudero,0,1,36 of 98,43 of 101,36%,42%,66 of 132,77 of 143,2 of 4,0 of 0,50%,---,0,0,0,0,6:56,0:50,0,0,13 of 22,8 of 17,59%,47%,32 of 43,26 of 38,1 of 1,0 of 0,100%,---,0,0,0,0,3:50,0:04,36 of 98,43 of 101,36%,42%,23 of 75,27 of 80,7 of 17,6 of 11,6 of 6,10 of 10,20 of 79,37 of 92,1 of 3,4 of 5,15 of 16,2 of 4,13 of 22,8 of 17,59%,47%,10 of 18,3 of 11,2 of 3,1 of 2,1 of 1,4 of 4,3 of 12,7 of 15,0 of 0,1 of 2,10 of 10,0 of 0,Decision - Unanimous,Jerin Valel,1,"September 13, 2014"
